Pathway,Gene
positive regulation of RNA metabolic process,SOX17
positive regulation of RNA metabolic process,SUPT7L
positive regulation of RNA metabolic process,VEZF1
positive regulation of RNA metabolic process,WT1
positive regulation of RNA metabolic process,RAF1
positive regulation of RNA metabolic process,MYBL2
positive regulation of RNA metabolic process,SAMD4B
positive regulation of RNA metabolic process,ZFP36L1
positive regulation of RNA metabolic process,ZNF780B
Hepatitis C,AKT2
Hepatitis C,PIK3CB
Hepatitis C,PIK3CA
Hepatitis C,E2F3
Hepatitis C,KRAS
Hepatitis C,TRAF2
Hepatitis C,CCND1
Hepatitis C,RAF1
Hepatitis C,CDK4
Epstein-Barr virus infection,PSMD8
Epstein-Barr virus infection,AKT2
Epstein-Barr virus infection,PIK3CB
Epstein-Barr virus infection,PIK3CA
Epstein-Barr virus infection,CCNE1
Epstein-Barr virus infection,E2F3
Epstein-Barr virus infection,SKP2
Epstein-Barr virus infection,TRAF2
Epstein-Barr virus infection,CCND1
Epstein-Barr virus infection,CDK4
positive regulation of biosynthetic process,EIF4G1
positive regulation of biosynthetic process,NCOA2
positive regulation of biosynthetic process,IGF2BP2
positive regulation of biosynthetic process,SUB1
positive regulation of biosynthetic process,CLNS1A
positive regulation of biosynthetic process,IL1RAP
positive regulation of biosynthetic process,DHX36
positive regulation of biosynthetic process,TRA2B
positive regulation of biosynthetic process,AKT2
positive regulation of biosynthetic process,MECOM
positive regulation of biosynthetic process,NCBP2
positive regulation of biosynthetic process,RFX5
positive regulation of biosynthetic process,PIK3CB
positive regulation of biosynthetic process,WWTR1
positive regulation of biosynthetic process,AGO2
positive regulation of biosynthetic process,HLTF
positive regulation of biosynthetic process,PDCD5
positive regulation of biosynthetic process,ASPH
positive regulation of biosynthetic process,OPA1
positive regulation of biosynthetic process,RSF1
positive regulation of biosynthetic process,PLSCR1
positive regulation of biosynthetic process,MED29
positive regulation of biosynthetic process,RBM38
positive regulation of biosynthetic process,CHD7
positive regulation of biosynthetic process,SMYD3
positive regulation of biosynthetic process,WNK1
positive regulation of biosynthetic process,SUPT5H
positive regulation of biosynthetic process,PAX8
positive regulation of biosynthetic process,E2F3
positive regulation of biosynthetic process,KRAS
positive regulation of biosynthetic process,ACTR3
positive regulation of biosynthetic process,TMED2
positive regulation of biosynthetic process,ATXN7L3
positive regulation of biosynthetic process,FBXW11
positive regulation of biosynthetic process,SOX17
positive regulation of biosynthetic process,SUPT7L
positive regulation of biosynthetic process,TRAF2
positive regulation of biosynthetic process,VEZF1
positive regulation of biosynthetic process,WT1
positive regulation of biosynthetic process,RAF1
positive regulation of biosynthetic process,MYBL2
positive regulation of biosynthetic process,ZNF780B
regulation of protein metabolic process,EIF4G1
regulation of protein metabolic process,IGF2BP2
regulation of protein metabolic process,DHX36
regulation of protein metabolic process,ECT2
regulation of protein metabolic process,AKT2
regulation of protein metabolic process,EZH2
regulation of protein metabolic process,NCBP2
regulation of protein metabolic process,WWTR1
regulation of protein metabolic process,LSM14A
regulation of protein metabolic process,AGO2
regulation of protein metabolic process,ASPH
regulation of protein metabolic process,RAP2B
regulation of protein metabolic process,PIK3CA
regulation of protein metabolic process,XRN1
regulation of protein metabolic process,SMYD3
regulation of protein metabolic process,WNK1
regulation of protein metabolic process,UVRAG
regulation of protein metabolic process,FZR1
regulation of protein metabolic process,KRAS
regulation of protein metabolic process,SKP2
regulation of protein metabolic process,WDR48
regulation of protein metabolic process,TMED2
regulation of protein metabolic process,FBXW11
regulation of protein metabolic process,SOX17
regulation of protein metabolic process,TRAF2
regulation of protein metabolic process,CCND1
regulation of protein metabolic process,RAF1
regulation of protein metabolic process,SAMD4B
regulation of protein metabolic process,ZFP36L1
regulation of protein metabolic process,PFDN1
regulation of protein metabolic process,METAP1
regulation of protein metabolic process,APC
regulation of protein metabolic process,RICTOR
regulation of programmed cell death,PAK4
regulation of programmed cell death,ECT2
regulation of programmed cell death,MECOM
regulation of programmed cell death,PIK3CB
regulation of programmed cell death,ZC3HC1
regulation of programmed cell death,PDCD5
regulation of programmed cell death,OPA1
regulation of programmed cell death,PEPD
regulation of programmed cell death,PIK3CA
regulation of programmed cell death,CCNL1
regulation of programmed cell death,GOLPH3
regulation of programmed cell death,ST6GAL1
regulation of programmed cell death,ST3GAL1
regulation of programmed cell death,TNFSF10
regulation of programmed cell death,PAX8
regulation of programmed cell death,E2F3
regulation of programmed cell death,KRAS
regulation of programmed cell death,PDCD2
regulation of programmed cell death,SKP2
regulation of programmed cell death,MAEA
regulation of programmed cell death,TRAF2
regulation of programmed cell death,WT1
regulation of programmed cell death,CCND1
regulation of programmed cell death,RAF1
