Biomarker,Biomarker_HGNC,TargetGene,TargetGene_HGNC,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
23085,ERC1,28956,LAMTOR2,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
23126,POGZ,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
25977,NECAP1,28956,LAMTOR2,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
26137,ZBTB20,47,ACLY,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0155638125725889
26137,ZBTB20,254272,TBC1D28,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0141979139189152
26137,ZBTB20,8458,TTF2,False,-6.224701109367741,2.7136948286107383e-05,-2.3670124287755803,3,14,-0.9637954718244712,-0.5416947156128126,0.0255991878832279
29883,CNOT7,23512,SUZ12,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
29883,CNOT7,6901,TAFAZZIN,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
4074,M6PR,28956,LAMTOR2,False,-9.38906997191578,2.0191695214130456e-05,-4.4733706656913,3,14,-1.2136818829516811,-0.5021734326850671,0.0142856243639972
427,ASAH1,23512,SUZ12,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
427,ASAH1,6901,TAFAZZIN,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
51422,PRKAG2,8339,H2BC8,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
51422,PRKAG2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
51435,SCARA3,1355,COX15,False,-6.950179187280874,7.391015987682749e-06,-2.660332227505782,3,14,-0.5021225543596995,-0.2689469531972024,0.0069721917483807
51435,SCARA3,10615,SPAG5,False,-8.076604433116957,7.991979572120204e-07,-3.2651690862581986,3,14,-0.8748067221341355,-0.4883079570607924,0.00226173021891
51439,FAM8A1,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
51742,ARID4B,6651,SON,False,-7.615318240004663,7.825081080476433e-06,-3.544916114271177,4,13,-1.3427536572923988,-0.9684514337225666,0.022716210376623
5298,PI4KB,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
54901,CDKAL1,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
57530,CGN,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
57592,ZNF687,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
5993,RFX5,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
6009,RHEB,8339,H2BC8,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
6009,RHEB,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
63971,KIF13A,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
64216,TFB2M,91746,YTHDC1,False,-10.116307263418088,1.918786929325836e-07,-4.600229383649622,4,13,-0.9960611466498634,-0.5217737689541905,0.0005570238455832
6522,SLC4A2,8339,H2BC8,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
6522,SLC4A2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
7172,TPMT,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
7913,DEK,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
7991,TUSC3,23512,SUZ12,False,-5.118701849785319,0.0001686485585673,-2.147440579478285,3,14,-0.7507165381661608,-0.3776322127300268,0.0477275420745536
7991,TUSC3,6901,TAFAZZIN,False,-5.8963842855925055,6.57884835284336e-05,-2.5391781291372686,3,14,-0.8221735866654272,-0.3059730464479297,0.0282738542336308
83590,TMUB1,8339,H2BC8,False,-6.930263883780546,7.5398608421689395e-06,-2.6541184254675203,3,14,-0.607006799697259,-0.3051679505295484,0.0072960720082721
83590,TMUB1,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0019585243779336
8991,SELENBP1,84612,PARD6B,False,-6.481450332921993,1.472745834245117e-05,-3.163347245109161,8,9,-0.885799083544407,-0.1743611624061023,0.0432103627767517
9453,GGPS1,6651,SON,False,-7.615318240004663,7.825081080476433e-06,-3.544916114271177,4,13,-1.3427536572923988,-0.9684514337225666,0.022716210376623
961,CD47,47,ACLY,False,-6.883814266530732,1.099916082868474e-05,-2.6029063781672166,3,14,-0.763179989381547,-0.2840455732867132,0.0155638125725889
961,CD47,254272,TBC1D28,False,-8.473388785671302,5.016930713397611e-06,-3.7705079116133953,3,14,-0.602511530351202,-0.2354092101905101,0.0141979139189152
961,CD47,8458,TTF2,False,-6.224701109367741,2.7136948286107383e-05,-2.3670124287755803,3,14,-0.9637954718244712,-0.5416947156128126,0.0255991878832279
9972,NUP153,10640,EXOC5,False,-6.288587063022198,1.6474216436857652e-05,-2.576978883159544,3,14,-0.744313000384603,-0.5263212125110152,0.0478246503161977
